Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2013-02-23,Breakfast,314.0,10.2,4.8,1.0,1.5,0.2,0.0,175.0,150.0,47.0,5.0,12.0,11.0,15.0,20.0,20.0,10.0
2013-03-17,Breakfast,374.0,13.2,5.8,2.5,2.0,0.2,0.0,210.0,210.0,53.0,7.0,11.0,13.0,15.0,0.0,22.0,90.0
2013-03-17,Dinner,780.0,21.0,8.9,0.0,0.0,1.0,100.0,1980.0,0.0,98.0,7.0,16.0,53.0,20.0,45.0,90.0,50.0
2013-03-17,Snacks,677.6,21.1,4.7,0.0,0.0,0.1,8.0,218.0,0.0,84.0,9.3,31.4,36.1,0.0,0.0,0.0,0.0
2013-03-18,Breakfast,374.0,13.2,5.8,2.5,2.0,0.2,0.0,210.0,210.0,53.0,7.0,11.0,13.0,15.0,0.0,22.0,90.0
2013-03-18,Lunch,734.0,34.0,8.0,0.0,0.0,0.0,107.0,760.0,0.0,92.0,4.0,1.0,56.4,0.0,6.0,12.0,16.0
2013-03-18,Dinner,780.0,21.0,8.9,0.0,0.0,1.0,100.0,1980.0,0.0,98.0,7.0,16.0,53.0,20.0,45.0,90.0,50.0
2013-03-18,Snacks,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,35.0,5.0,29.0,0.0,2.0,108.0,0.0,2.0
2013-03-19,Breakfast,374.0,13.2,5.8,2.5,2.0,0.2,0.0,210.0,210.0,53.0,7.0,11.0,13.0,15.0,0.0,22.0,90.0
2013-03-19,Lunch,734.0,34.0,8.0,0.0,0.0,0.0,107.0,760.0,0.0,92.0,4.0,1.0,56.4,0.0,6.0,12.0,16.0
2013-03-19,Dinner,551.0,14.4,3.6,2.6,4.3,0.0,98.8,1109.8,247.5,68.0,1.4,16.0,37.4,1.4,0.0,1.2,7.6
2013-03-19,Snacks,223.2,1.0,0.1,0.2,0.2,0.0,0.0,5.0,992.0,51.6,1.0,41.7,3.5,19.8,413.3,5.5,5.5
2013-03-20,Breakfast,374.0,13.2,5.8,2.5,2.0,0.2,0.0,210.0,210.0,53.0,7.0,11.0,13.0,15.0,0.0,22.0,90.0
2013-03-20,Lunch,874.0,16.0,1.0,0.0,0.0,0.0,0.0,998.0,0.0,116.0,20.0,18.0,70.0,0.0,0.0,0.0,0.0
2013-03-20,Dinner,780.0,21.0,8.9,0.0,0.0,1.0,100.0,1980.0,0.0,98.0,7.0,16.0,53.0,20.0,45.0,90.0,50.0
2013-03-20,Snacks,330.0,17.4,6.8,0.0,0.0,0.0,0.0,346.0,0.0,43.8,2.8,20.8,10.0,2.0,0.0,0.0,6.0
2013-03-21,Breakfast,374.0,13.2,5.8,2.5,2.0,0.2,0.0,210.0,210.0,53.0,7.0,11.0,13.0,15.0,0.0,22.0,90.0
2013-03-21,Lunch,550.0,27.0,13.0,0.0,0.0,0.0,119.0,1332.0,672.0,48.0,2.0,0.0,45.0,0.0,0.0,0.0,0.0
2013-03-21,Dinner,780.0,21.0,8.9,0.0,0.0,1.0,100.0,1980.0,0.0,98.0,7.0,16.0,53.0,20.0,45.0,90.0,50.0
2013-03-21,Snacks,268.0,19.4,13.0,0.0,0.0,0.0,336.0,130.0,0.0,8.0,0.0,14.4,9.4,0.0,0.0,44.0,0.0
2013-03-22,Breakfast,374.0,13.2,5.8,2.5,2.0,0.2,0.0,210.0,210.0,53.0,7.0,11.0,13.0,15.0,0.0,22.0,90.0
2013-03-22,Lunch,480.0,15.0,5.0,0.0,0.0,0.0,115.0,810.0,0.0,51.0,0.0,0.0,34.0,6.0,2.0,8.0,15.0
